year,sending_country_iso,receiving_country_iso,participants
2015,AZ,HU,1
2015,AZ,IT,1
2015,AZ,PL,1
2015,AZ,PT,6
2015,AZ,TR,2
2015,BA,AT,2
2015,BA,DE,7
2015,BA,ES,1
2015,BA,FR,2
2015,BA,HR,2
2015,BA,IT,4
2015,BA,LT,1
2015,BA,NO,1
2015,BA,PL,2
2015,BA,PT,1
2015,BA,SI,6
2015,BA,TR,3
2015,BE,AT,175
2015,BE,BA,1
2015,BE,BG,30
2015,BE,CY,37
2015,BE,CZ,151
2015,BE,DE,632
2015,BE,DK,249
2015,BE,EE,35
2015,BE,EL,51
2015,BE,ES,1511
2015,BE,FI,340
2015,BE,FR,1152
2015,BE,HR,22
2015,BE,HU,148
2015,BE,IE,205
2015,BE,IS,16
2015,BE,IT,601
2015,BE,JO,1
2015,BE,LI,1
2015,BE,LT,43
2015,BE,LU,105
2015,BE,LV,21
2015,BE,MT,46
2015,BE,NL,508
2015,BE,NO,209
2015,BE,PL,127
2015,BE,PT,305
2015,BE,RO,44
2015,BE,RU,4
2015,BE,SE,347
2015,BE,SI,44
2015,BE,SK,19
2015,BE,TR,175
2015,BE,UK,652
2015,BE,US,3
2015,BG,AT,60
2015,BG,BE,69
2015,BG,CY,14
2015,BG,CZ,100
2015,BG,DE,335
2015,BG,DK,9
